unidade;ano;mes;case_mix
HIJPII;2022;6;1,0939
HIJPII;2022;7;1,2916
HIJPII;2022;8;1,2714
HIJPII;2022;9;1,2467
HIJPII;2022;10;1,0482
HIJPII;2022;11;1,0492
HIJPII;2022;12;1,2296
HIJPII;2023;1;1,2607
HIJPII;2023;2;1,3642
HIJPII;2023;3;1,5298
HIJPII;2023;4;1,1073
HIJPII;2023;5;1,0602
HIJPII;2023;6;1,3539999999999999
HIJPII;2023;7;1,3968
HIJPII;2023;8;1,2923
HIJPII;2023;9;1,0856
HIJPII;2023;10;1,2621
HIJPII;2023;11;1,1758
HIJPII;2023;12;1,3092
HIJPII;2024;1;1,5447
HIJPII;2024;2;1,087
HIJPII;2024;3;0,895
HIJPII;2024;4;1,0757
HIJPII;2024;5;1,2897
HIJPII;2024;6;1,3664
HIJPII;2024;7;1,2186
HIJPII;2024;8;1,2691
HIJPII;2024;9;1,0383
HIJPII;2024;10;1,1085
HIJPII;2024;11;1,078
HIJPII;2024;12;1,094
HIJPII;2025;1;0,9469
HIJPII;2025;2;0,9522
HIJPII;2025;3;0,9521
HIJPII;2025;4;1,0408
HIJPII;2025;5;1,1001
HIJPII;2025;6;1,0804
HIJPII;2025;7;1,1061
HIJPII;2025;8;0,9892000000000001
HIJPII;2025;9;1,1734
HIJPII;2025;10;0,949
HIJPII;2025;11;1,0885
HIJPII;2025;12;1,0086
HIJPII;2026;1;0,9862
HIJPII;2026;2;0,8727
HIJPII;2026;3;0,9399
HJK;2019;5;0,3634
HJK;2019;9;1,1855
HJK;2019;10;0,5508
HJK;2019;11;1,544
HJK;2019;12;1,5068999999999997
HJK;2020;1;0,942
HJK;2020;2;1,0011
HJK;2020;3;0,9685
HJK;2020;4;1,0559
HJK;2020;5;0,9145000000000001
HJK;2020;6;1,0116
HJK;2020;7;1,3798
HJK;2020;8;1,4618
HJK;2020;9;1,2636
HJK;2020;10;1,0907
HJK;2020;11;1,1226
HJK;2020;12;1,1799
HJK;2021;1;1,315
HJK;2021;2;1,2918
HJK;2021;3;1,3935
HJK;2021;4;1,6409
HJK;2021;5;1,5944
HJK;2021;6;1,567
HJK;2021;7;1,276
HJK;2021;8;1,1046
HJK;2021;9;1,0746
HJK;2021;10;0,9523
HJK;2021;11;0,9307000000000001
HJK;2021;12;1,0242
HJK;2022;1;0,9518
HJK;2022;2;1,1564
HJK;2022;3;0,9364
HJK;2022;4;0,8678999999999999
HJK;2022;5;0,8958999999999999
HJK;2022;6;0,9723
HJK;2022;7;1,0585
HJK;2022;8;0,9117
HJK;2022;9;0,7786000000000001
HJK;2022;10;0,9848
HJK;2022;11;0,9622
HJK;2022;12;0,8933
HJK;2023;1;0,9939
HJK;2023;2;1,0999
HJK;2023;3;1,1257
HJK;2023;4;1,0003
HJK;2023;5;1,1068
HJK;2023;6;1,0865
HJK;2023;7;0,9759
HJK;2023;8;1,0512
HJK;2023;9;1,0577
HJK;2023;10;0,9749999999999999
HJK;2023;11;1,0082
HJK;2023;12;1,0295
HJK;2024;1;0,8747999999999999
HJK;2024;2;0,8629
HJK;2024;3;0,8724000000000001
HJK;2024;4;1,1091
HJK;2024;5;1,0685
HJK;2024;6;1,0423
HJK;2024;7;1,1042
HJK;2024;8;1,1225
HJK;2024;9;1,211
HJK;2024;10;1,2477
HJK;2024;11;1,1499
HJK;2024;12;1,2698
HJK;2025;1;1,0691
HJK;2025;2;1,0788
HJK;2025;3;1,206
HJK;2025;4;1,1215
HJK;2025;5;1,1589
HJK;2025;6;1,2848
HJK;2025;7;1,3216
HJK;2025;8;1,1874
HJK;2025;9;1,1946
HJK;2025;10;1,355
HJK;2025;11;1,3225
HJK;2025;12;1,1868
HJK;2026;1;1,1228
HJK;2026;2;1,2611
HJK;2026;3;1,892
HJXXIII;2019;9;0,4626
HJXXIII;2019;10;2,501
HJXXIII;2019;12;0,6092
HJXXIII;2020;1;0,4389
HJXXIII;2020;3;0,5892
HJXXIII;2020;4;1,8193999999999997
HJXXIII;2020;5;1,299
HJXXIII;2020;6;1,3858
HJXXIII;2020;7;1,9608
HJXXIII;2020;8;1,8338
HJXXIII;2020;9;1,7322999999999997
HJXXIII;2020;10;1,8412
HJXXIII;2020;11;1,8994
HJXXIII;2020;12;1,7765999999999997
HJXXIII;2021;1;1,5302
HJXXIII;2021;2;1,7687000000000002
HJXXIII;2021;3;1,3538
HJXXIII;2021;4;1,1635
HJXXIII;2021;5;1,9408000000000003
HJXXIII;2021;6;1,2329
HJXXIII;2021;7;1,3947
HJXXIII;2021;8;1,323
HJXXIII;2021;9;1,4914
HJXXIII;2021;10;1,4085
HJXXIII;2021;11;1,429
HJXXIII;2021;12;1,3602
HJXXIII;2022;1;1,4053
HJXXIII;2022;2;1,4612
HJXXIII;2022;3;1,4158
HJXXIII;2022;4;1,4791999999999998
HJXXIII;2022;5;1,4763
HJXXIII;2022;6;1,4381
HJXXIII;2022;7;1,6324
HJXXIII;2022;8;1,5557
HJXXIII;2022;9;1,599
HJXXIII;2022;10;1,499
HJXXIII;2022;11;1,484
HJXXIII;2022;12;1,5086
HJXXIII;2023;1;1,4896
HJXXIII;2023;2;1,5462999999999998
HJXXIII;2023;3;1,3642
HJXXIII;2023;4;1,3847
HJXXIII;2023;5;1,2858
HJXXIII;2023;6;1,8708
HJXXIII;2023;7;1,8864
HJXXIII;2023;8;1,8839
HJXXIII;2023;9;1,9264
HJXXIII;2023;10;1,9343
HJXXIII;2023;11;1,7404
HJXXIII;2023;12;1,7998
HJXXIII;2024;1;1,8641
HJXXIII;2024;2;2,0536
HJXXIII;2024;3;1,8252
HJXXIII;2024;4;1,8498
HJXXIII;2024;5;1,872
HJXXIII;2024;6;1,8865
HJXXIII;2024;7;1,6568
HJXXIII;2024;8;1,8308
HJXXIII;2024;9;1,8855
HJXXIII;2024;10;1,7716
HJXXIII;2024;11;1,812
HJXXIII;2024;12;1,761
HJXXIII;2025;1;1,7804
HJXXIII;2025;2;1,6732
HJXXIII;2025;3;1,7315
HJXXIII;2025;4;1,4522
HJXXIII;2025;5;1,4101
HJXXIII;2025;6;1,5999
HJXXIII;2025;7;1,5866
HJXXIII;2025;8;1,5342
HJXXIII;2025;9;1,5348
HJXXIII;2025;10;1,5016
HJXXIII;2025;11;1,7338
HJXXIII;2025;12;1,7231000000000003
HJXXIII;2026;1;1,416
HJXXIII;2026;2;1,6003
HJXXIII;2026;3;1,463
HRAD;2019;5;1,1921
HRAD;2019;6;0,9788
HRAD;2019;7;1,3588
HRAD;2019;8;1,3531
HRAD;2019;9;1,4062
HRAD;2019;10;1,1672
HRAD;2019;11;1,5024
HRAD;2019;12;1,1562
HRAD;2020;1;1,1537
HRAD;2020;2;1,0633
HRAD;2020;3;1,0151
HRAD;2020;4;1,1227
HRAD;2020;5;1,0437
HRAD;2020;6;1,2843
HRAD;2020;7;1,3385
HRAD;2020;8;1,6961
HRAD;2020;9;1,4695
HRAD;2020;10;1,4509
HRAD;2020;11;1,4291
HRAD;2020;12;1,2766
HRAD;2021;1;1,2372
HRAD;2021;2;1,3984
HRAD;2021;3;1,2039
HRAD;2021;4;1,2987
HRAD;2021;5;1,2281
